date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr;F_est;F_lwr;F_upr
2021-09-18;alle;64;64,0;64,0;64,0;553;553,0;553,0;553,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-18;ja;25;25,0;25,0;25,0;251;251,0;251,0;251,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-18;nein;39;39,0;39,0;39,0;302;302,0;302,0;302,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-17;alle;73;73,0;73,0;73,0;569;569,0;569,0;569,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-17;ja;32;32,0;32,0;32,0;256;256,0;256,0;256,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-17;nein;41;41,0;41,0;41,0;313;313,0;313,0;313,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-16;alle;89;89,0;89,0;89,0;580;580,0;580,0;580,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-16;ja;40;40,0;40,0;40,0;268;268,0;268,0;268,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-16;nein;49;49,0;49,0;49,0;312;312,0;312,0;312,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-15;alle;68;68,0;68,0;68,0;580;580,0;580,0;580,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-15;ja;34;34,0;34,0;34,0;268;268,0;268,0;268,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-15;nein;34;34,0;34,0;34,0;312;312,0;312,0;312,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-14;alle;89;89,0;89,0;89,0;597;597,0;597,0;597,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-14;ja;36;36,0;36,0;36,0;272;272,0;272,0;272,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-14;nein;53;53,0;53,0;53,0;325;325,0;325,0;325,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-13;alle;98;98,0;98,0;98,0;605;605,0;605,0;605,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-13;ja;45;45,0;45,0;45,0;268;268,0;268,0;268,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-13;nein;53;53,0;53,0;53,0;337;337,0;337,0;337,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-12;alle;72;72,0;72,0;72,0;600;600,0;600,0;600,0;NA;NA;NA
2021-09-12;ja;39;39,0;39,0;39,0;259;259,0;259,0;259,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-12;nein;33;33,0;33,0;33,0;341;341,0;341,0;341,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-11;alle;80;80,0;80,0;80,0;597;597,0;597,0;597,0;NA;NA;NA
2021-09-11;ja;30;30,0;30,0;30,0;250;250,0;250,0;250,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-11;nein;50;50,0;50,0;50,0;347;347,0;347,0;347,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-10;alle;84;84,0;84,0;84,0;589;589,0;589,0;589,0;NA;NA;NA
